No,Tahun,Provinsi,Kode_Kabupaten_Kota,Kabupaten_Kota,PoU,Jumlah_Penduduk,Penduduk_Undernourish,id,latitude,longitude
422,2018,SULAWESI SELATAN,7373,KOTA PALOPO,2.55,180678,4607,7373,-2.97841,120.11078
423,2018,SULAWESI TENGGARA,7401,BUTON,8.49,101475,8615,7401,-5.31667,122.58333
424,2018,SULAWESI TENGGARA,7402,MUNA,8.7,220149,19153,7402,-4.96667,122.66667
425,2018,SULAWESI TENGGARA,7403,KONAWE,5.42,249010,13496,7403,-3.91717,122.08823
426,2018,SULAWESI TENGGARA,7404,KOLAKA,5.21,198891,10362,7404,-4.08333,121.66667
427,2018,SULAWESI TENGGARA,7405,KONAWE SELATAN,7.63,309298,23599,7405,-4.19191,122.44854
428,2018,SULAWESI TENGGARA,7406,BOMBANA,8.01,180035,14421,7406,-4.6257,121.81641
429,2018,SULAWESI TENGGARA,7407,WAKATOBI,8.27,95737,7917,7407,-5.31934,123.5948
430,2018,SULAWESI TENGGARA,7408,KOLAKA UTARA,7.16,147863,10587,7408,-3.10452,121.12427
431,2018,SULAWESI TENGGARA,7409,BUTON UTARA,7.2,63070,4541,7409,-5.01457,122.93015
432,2018,SULAWESI TENGGARA,7410,KONAWE UTARA,6.7,62403,4181,7410,-3.41552,121.99081
433,2018,SULAWESI TENGGARA,7411,KOLAKA TIMUR,7.1,188796,13405,7411,-4.01807,121.86172
434,2018,SULAWESI TENGGARA,7412,KONAWE KEPULAUAN,6.47,33680,2179,7412,-4.11656,123.10181
435,2018,SULAWESI TENGGARA,7413,MUNA BARAT,13.11,80647,10573,7413,-4.83333,122.48333
436,2018,SULAWESI TENGGARA,7414,BUTON TENGAH,11.3,92335,10434,7414,-5.31667,122.33333
437,2018,SULAWESI TENGGARA,7415,BUTON SELATAN,7.9,79579,6287,7415,-5.56667,122.7
438,2018,SULAWESI TENGGARA,7471,KOTA KENDARI,3.76,381628,14349,7471,-3.98333,122.5
439,2018,SULAWESI TENGGARA,7472,KOTA BAU BAU,7.77,167519,13016,7472,-5.477,122.6166
440,2018,GORONTALO,7501,BOALEMO,14.11,162577,22940,7501,0.62689,122.3568
441,2018,GORONTALO,7502,GORONTALO,13.43,377048,50638,7502,0.5728,122.2337
442,2018,GORONTALO,7503,PAHUWATO,10.57,157551,16653,7503,0.7098,121.59582
443,2018,GORONTALO,7504,BONE BOLANGO,8.08,159194,12863,7504,0.50296,123.27501
444,2018,GORONTALO,7505,GORONTALO UTARA,16.47,114036,18782,7505,0.77,122.31667
445,2018,GORONTALO,7571,GORONTALO,7.25,215086,15594,7571,0.53333,123.1
446,2018,SULAWESI BARAT,7601,MAJENE,9.63,171272,16493,7601,-3.15,118.86667
447,2018,SULAWESI BARAT,7602,POLEWALI MANDAR,11.44,437662,50069,7602,-3.3,119.16667
448,2018,SULAWESI BARAT,7603,MAMASA,14.41,159201,22941,7603,-2.96492,119.30631
449,2018,SULAWESI BARAT,7604,MAMUJU,10.21,286389,29240,7604,-2.5,119.41667
450,2018,SULAWESI BARAT,7605,MAMUJU UTARA,5.61,170203,9548,7605,-1.51639,119.42139
451,2018,SULAWESI BARAT,7606,MAMUJU TENGAH,8.32,130827,10885,7606,-2.8212,119.2662
452,2018,MALUKU,8101,MALUKU TENGGARA BARAT,40.28,112429,45286,8101,-7.61186,131.38
453,2018,MALUKU,8102,MALUKU TENGGARA,35.4,99284,35147,8102,-5.75,132.73334
454,2018,MALUKU,8103,MALUKU TENGAH,37.73,371479,140159,8103,-3.29167,128.9675
455,2018,MALUKU,8104,BURU,31.38,135687,42579,8104,-3.32767,126.68413
456,2018,MALUKU,8105,KEPULAUAN ARU,36.57,93780,34295,8105,-6.17059,134.46991
457,2018,MALUKU,8106,SERAM BAGIAN BARAT,47.4,170494,80814,8106,-3.1027,128.42996
458,2018,MALUKU,8107,SERAM BAGIAN TIMUR,41.6,111573,46414,8107,-3.39851,130.39166
459,2018,MALUKU,8108,MALUKU BARAT DAYA,44.64,72673,32441,8108,-7.8296,126.17386
460,2018,MALUKU,8109,BURU SELATAN,48.47,61330,29727,8109,-3.52187,126.59271
461,2018,MALUKU,8171,KOTA AMBON,19.85,444797,88292,8171,-3.7,128.18333
462,2018,MALUKU,8172,KOTA TUAL,25.76,71732,18478,8172,-5.64301,132.74934
463,2018,MALUKU UTARA,8201,HALMAHERA BARAT,36.58,116513,42620,8201,1.41709,127.55264
464,2018,MALUKU UTARA,8202,HALMAHERA TENGAH,27.86,54190,15097,8202,0.48056,128.25
465,2018,MALUKU UTARA,8203,KEPULAUAN SULA,38.41,100967,38781,8203,-1.8646,125.69046
466,2018,MALUKU UTARA,8204,HALMAHERA SELATAN,27.74,231217,64140,8204,-0.3955,127.90833
467,2018,MALUKU UTARA,8205,HALMAHERA UTARA,35.8,190531,68210,8205,1.73194,128.00778
468,2018,MALUKU UTARA,8206,HALMAHERA TIMUR,34.69,92618,32129,8206,1.33517,128.48627
469,2018,MALUKU UTARA,8207,PULAU MOROTAI,33.78,65573,22151,8207,2.19924,128.40546
470,2018,MALUKU UTARA,8208,PULAU TALIABU,41.77,52503,21931,8208,-1.84578,124.78992
471,2018,MALUKU UTARA,8271,KOTA TERNATE,17.99,228105,41036,8271,0.89618,127.31016
472,2018,MALUKU UTARA,8272,KOTA TIDORE KEPULAUAN,30.02,100415,30145,8272,0.60962,127.56981
473,2018,PAPUA BARAT,9101,FAK FAK,24.46,77381,18927,9101,-2.92641,132.29608
474,2018,PAPUA BARAT,9102,KAIMANA,27.84,58404,16260,9102,-3.66093,133.77451
475,2018,PAPUA BARAT,9103,TELUK WONDAMA,18.76,31769,5960,9103,-2.7,134.5
476,2018,PAPUA BARAT,9104,TELUK BINTUNI,14.38,63091,9072,9104,-1.88037,133.33105
477,2018,PAPUA BARAT,9105,MANOKWARI,22.17,170897,37888,9105,-0.9,133.75
478,2018,PAPUA BARAT,9106,SORONG SELATAN,20.41,46021,9393,9106,-1.50495,132.28638
479,2018,PAPUA BARAT,9107,SORONG,21.59,86994,18782,9107,-1.16667,131.5
480,2018,PAPUA BARAT,9108,RAJA AMPAT,18.56,47885,8887,9108,-0.5,130.0
481,2018,PAPUA BARAT,9109,TAMBRAUW,37.01,13804,5109,9109,-0.60515,132.48962
482,2018,PAPUA BARAT,9110,MAYBRAT,20.05,40102,8040,9110,-1.2155,132.35092
483,2018,PAPUA BARAT,9111,MANOKWARI SELATAN,20.49,23617,4839,9111,-1.0798,133.96729
484,2018,PAPUA BARAT,9112,PEGUNUNGAN ARFAK,48.41,30409,14721,9112,-0.93523,133.89587
485,2018,PAPUA BARAT,9171,SORONG,15.96,247084,39435,9171,-0.86507,131.25153
486,2018,PAPUA,9401,MERAUKE,33.62,225714,75885,9401,-7.66667,139.66667
