No,Tahun,Provinsi,Kode_Kabupaten_Kota,Kabupaten_Kota,PoU,Jumlah_Penduduk,Penduduk_Undernourish
2535,2022,PAPUA BARAT,9107,SORONG,28.93,120875,34969
2536,2022,PAPUA BARAT,9108,RAJA AMPAT,29.02,66913,19418
2537,2022,PAPUA BARAT,9109,TAMBRAUW,41.74,29838,12454
2538,2022,PAPUA BARAT,9110,MAYBRAT,19.49,45060,8782
2539,2022,PAPUA BARAT,9111,MANOKWARI SELATAN,30.42,37282,11341
2540,2022,PAPUA BARAT,9112,PEGUNUNGAN ARFAK,54.83,39848,21849
2541,2022,PAPUA BARAT,9171,SORONG,28.10,291153,81814
2542,2022,PAPUA,9401,MERAUKE,24.37,234901,57245
2543,2022,PAPUA,9402,JAYAWIJAYA,30.40,275174,83653
2544,2022,PAPUA,9403,JAYAPURA,27.04,169967,45959
2545,2022,PAPUA,9404,NABIRE,28.68,172095,49357
2546,2022,PAPUA,9408,KEPULAUAN YAPEN,37.79,115447,43627
2547,2022,PAPUA,9409,BIAK NUMFOR,44.30,137656,60982
2548,2022,PAPUA,9410,PANIAI,70.28,228436,160545
2549,2022,PAPUA,9411,PUNCAK JAYA,28.11,230005,64654
2550,2022,PAPUA,9412,MIMIKA,31.44,319723,100521
2551,2022,PAPUA,9413,BOVEN DIGOEL,38.47,66487,25578
2552,2022,PAPUA,9414,MAPPI,39.54,111413,44053
2553,2022,PAPUA,9415,ASMAT,33.40,113882,38037
2554,2022,PAPUA,9416,YAHUKIMO,48.90,361649,176846
2555,2022,PAPUA,9417,PEGUNUNGAN BINTANG,17.85,80489,14367
2556,2022,PAPUA,9418,TOLIKARA,40.25,241937,97380
2557,2022,PAPUA,9419,SARMI,40.04,42275,16927
2558,2022,PAPUA,9420,KEEROM,38.99,62807,24488
2559,2022,PAPUA,9426,WAROPEN,33.26,34821,11581
2560,2022,PAPUA,9427,SUPIORI,21.39,23472,5021
2561,2022,PAPUA,9428,MAMBERAMO RAYA,51.40,37869,19465
2562,2022,PAPUA,9429,NDUGA,13.88,110022,15271
2563,2022,PAPUA,9430,LANNY JAYA,22.36,202502,45279
2564,2022,PAPUA,9431,MAMBERAMO TENGAH,20.15,52101,10498
2565,2022,PAPUA,9432,YALIMO,26.29,105095,27629
2566,2022,PAPUA,9433,PUNCAK,39.51,118681,46891
2567,2022,PAPUA,9434,DOGIYAI,80.32,120713,96957
2568,2022,PAPUA,9435,INTAN JAYA,55.25,139480,77063
2569,2022,PAPUA,9436,DEIYAI,70.33,102662,72202
2570,2022,PAPUA,9471,JAYAPURA,24.10,408983,98565
2571,2023,ACEH,1101,SIMEULUE,10.91,97118,10596
2572,2023,ACEH,1102,ACEH SINGKIL,7.31,133274,9742
2573,2023,ACEH,1103,ACEH SELATAN,13.70,239475,32808
2574,2023,ACEH,1104,ACEH TENGGARA,12.97,230890,29946
2575,2023,ACEH,1105,ACEH TIMUR,8.61,438126,37723
2576,2023,ACEH,1106,ACEH TENGAH,8.61,223833,19272
2577,2023,ACEH,1107,ACEH BARAT,6.16,204768,12614
2578,2023,ACEH,1108,ACEH BESAR,8.58,422373,36240
2579,2023,ACEH,1109,PIDIE,9.12,448085,40865
2580,2023,ACEH,1110,BIREUEN,7.62,453242,34537
2581,2023,ACEH,1111,ACEH UTARA,14.24,624899,88986
2582,2023,ACEH,1112,ACEH BARAT DAYA,9.64,156990,15134
2583,2023,ACEH,1113,GAYO LUES,9.18,104884,9628
2584,2023,ACEH,1114,ACEH TAMIANG,12.05,305217,36779
2585,2023,ACEH,1115,NAGAN RAYA,3.43,174347,5980
2586,2023,ACEH,1116,ACEH JAYA,9.44,97638,9217
2587,2023,ACEH,1117,BENER MERIAH,7.22,169214,12217
2588,2023,ACEH,1118,PIDIE JAYA,9.47,164361,15565
2589,2023,ACEH,1171,KOTA BANDA ACEH,5.47,261969,14330
2590,2023,ACEH,1172,KOTA SABANG,9.01,42888,3864
2591,2023,ACEH,1173,KOTA LANGSA,9.89,194730,19259
2592,2023,ACEH,1174,KOTA LHOKSEUMAWE,6.09,197355,12019
2593,2023,ACEH,1175,KOTA SUBULUSSALAM,7.30,96851,7070
2594,2023,SUMATERA UTARA,1201,NIAS,8.14,153658,12508
